Linux 6.6.87.2-microsoft-standard-WSL2 (DRUTHILAPTOP) 	11/01/25 	_x86_64_	(16 CPU)

10:15:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:15:26     all    0.00    0.00    0.01    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:15:36     all    0.00    0.00    0.03    0.02    0.00    0.00    0.00    0.00    0.00   99.94
10:15:46     all    0.00    0.00    0.01    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:15:56     all    0.00    0.00    0.01    0.02    0.00    0.01    0.00    0.00    0.00   99.96
10:16:06     all    0.01    0.00    0.01    0.01    0.00    0.01    0.00    0.00    0.00   99.96
10:16:16     all    0.00    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:16:26     all    0.01    0.00    0.03    0.02    0.00    0.00    0.00    0.00    0.00   99.95
10:16:36     all    0.01    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.96
10:16:46     all    0.00    0.00    0.02    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:16:56     all    0.00    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:17:06     all    0.01    0.00    0.02    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:17:16     all    0.01    0.00    0.03    0.00    0.00    0.00    0.00    0.00    0.00   99.96
10:17:26     all    0.00    0.00    0.01    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:17:36     all    0.00    0.00    0.01    0.02    0.00    0.00    0.00    0.00    0.00   99.97
10:17:46     all    0.00    0.00    0.03    0.01    0.00    0.00    0.00    0.00    0.00   99.96
10:17:56     all    0.01    0.00    0.01    0.00    0.00    0.00    0.00    0.00    0.00   99.98
10:18:06     all    0.00    0.00    0.01    0.01    0.00    0.00    0.00    0.00    0.00   99.98
10:18:16     all    0.00    0.00    0.02    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:18:26     all    0.00    0.00    0.01    0.01    0.00    0.00    0.00    0.00    0.00   99.98
10:18:36     all    0.00    0.00    0.01    0.01    0.00    0.00    0.00    0.00    0.00   99.98
10:18:46     all    0.00    0.00    0.04    0.00    0.00    0.00    0.00    0.00    0.00   99.96
10:18:56     all    0.01    0.00    0.02    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:19:06     all    0.00    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:19:16     all    0.00    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.96
10:19:26     all    0.00    0.00    0.03    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:19:36     all    0.00    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:19:46     all    0.03    0.00    0.03    0.01    0.00    0.00    0.00    0.00    0.00   99.92
10:19:56     all    0.01    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.96
10:20:06     all    0.00    0.00    0.02    0.02    0.00    0.01    0.00    0.00    0.00   99.96
10:20:16     all    0.00    0.00    0.02    0.00    0.00    0.00    0.00    0.00    0.00   99.98
10:20:26     all    0.01    0.00    0.01    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:20:36     all    0.00    0.00    0.02    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:20:46     all    0.00    0.00    0.02    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:20:56     all    0.00    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.96
10:21:06     all    0.01    0.00    0.03    0.01    0.00    0.00    0.00    0.00    0.00   99.95
10:21:16     all    0.18    0.00    0.11    0.25    0.00    0.01    0.00    0.00    0.00   99.46
10:21:26     all    0.00    0.00    0.03    0.01    0.00    0.00    0.00    0.00    0.00   99.96
10:21:36     all    0.01    0.00    0.01    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:21:46     all    0.01    0.00    0.03    0.01    0.00    0.00    0.00    0.00    0.00   99.96
10:21:56     all    0.00    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:22:06     all    0.00    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:22:16     all    0.01    0.00    0.01    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:22:26     all    0.00    0.00    0.01    0.03    0.00    0.01    0.00    0.00    0.00   99.96
10:22:36     all    0.01    0.00    0.02    0.02    0.00    0.00    0.00    0.00    0.00   99.95
10:22:46     all    0.00    0.00    0.03    0.01    0.00    0.00    0.00    0.00    0.00   99.96
10:22:56     all    0.00    0.00    0.02    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:23:06     all    0.00    0.00    0.02    0.02    0.00    0.00    0.00    0.00    0.00   99.96
10:23:16     all    0.00    0.00    0.03    0.01    0.00    0.00    0.00    0.00    0.00   99.96
10:23:26     all    0.00    0.00    0.01    0.01    0.00    0.00    0.00    0.00    0.00   99.97
10:23:36     all    0.01    0.00    0.01    0.02    0.00    0.00    0.00    0.00    0.00   99.96
Average:     all    0.01    0.00    0.02    0.02    0.00    0.00    0.00    0.00    0.00   99.95
